Opportunity ID,MCC_DESC,Industry_Corrected,Contract Start Date,Purchased Amount,Written Off,Date Written Off,Amount at Write Off
0062X00000wc3jhQAA,BARBER & BEAUTY SHOPS,Hair & Beauty,2018-11-29,3350.0,0,,0.0
0062X00000wcaPHQAY,DRAPERY WINDOWCOVERING & UPHOL,Other Services,2018-12-21,7140.0,0,,0.0
0062X00000wcCudQAE,TRUCK & UTILITY RENTALS,Car Sales / Garage Services,2018-12-04,3350.0,0,,0.0
0062X00000wcgYcQAI,EXPRESS PAYMNT SRVCE FAST FOOD,Food / Drink Shop,2018-12-20,1340.0,0,,0.0
0062X00000wcicRQAQ,THEATRICAL PRODUCERS TICKET AG,Other Retailer,2018-12-19,5220.0,0,,0.0
0062X00000wcJq0QAE,EXPRESS PAYMNT SRVCE FAST FOOD,Food / Drink Shop,2018-12-05,5586.0,0,,0.0
0062X00000wcLPzQAM,HEALTH & BEAUTY SPAS,Other Services,2018-12-04,2412.0,0,,0.0
0062X00000wcpD1QAI,HOTELS MOTELS & RESORTS-LODGIN,Hotel / B&B,2018-12-10,21480.0,0,,0.0
0062X00000wcqgpQAA,TELECOMMUNICATION EQUIPMENT,Other Services,2018-12-07,7150.0,0,,0.0
0062X00000wcqM6QAI,AUTOMOTIVE SERVICE SHOPS,Car Sales / Garage Services,2018-12-12,4092.0,0,,0.0
0062X00000wcRQHQA2,EXPRESS PAYMNT SRVCE FAST FOOD,Other Services,2018-12-04,15000.0,0,,0.0
0062X00000wcrzYQAQ,MISCELLANEOUS GENERAL MERCHAND,Food / Drink Shop,2018-12-10,7991.0,0,,0.0
0062X00000wcsoCQAQ,EXPRESS PAYMNT SRVCE FAST FOOD,Bar / Pub / Restaurant,2018-12-10,8120.0,1,2019-04-10,4044.06
0062X00000wcSoKQAU,DRINKING PLACES (ALCOHOLIC),Bar / Pub / Restaurant,2018-12-05,13440.0,0,,0.0
0062X00000wcteSQAQ,EXPRESS PAYMNT SRVCE FAST FOOD,Bar / Pub / Restaurant,2018-12-20,6250.0,0,,0.0
0062X00000wcuNSQAY,CHILDRENS & INFANTS WEAR STORE,Other Retailer,2018-12-17,34500.0,0,,0.0
0062X00000wd0cFQAQ,PACKAGE STORES-BEER WINE & LIQ,Food / Drink Shop,2019-01-11,11400.0,0,,0.0
0062X00000wd0ncQAA,EXPRESS PAYMNT SRVCE FAST FOOD,Other Services,2018-12-11,7906.0,0,,0.0
0062X00000wd2stQAA,PACKAGE STORES-BEER WINE & LIQ,Food / Drink Shop,2019-02-04,18960.0,0,,0.0
0062X00000wdBHCQA2,DRINKING PLACES (ALCOHOLIC),Bar / Pub / Restaurant,2019-02-20,33500.0,0,,0.0
0062X00000wdDr0QAE,MISCELLANEOUS GENERAL MERCHAND,Other Retailer,2018-12-13,15600.0,0,,0.0
0062X00000wdh9OQAQ,WOMENS READY TO WEAR STORES,Fashion Retail,2018-12-24,11700.0,0,,0.0
0062X00000wdHhTQAU,RESTAURANTS (EXCEPT EXPRESS),Bar / Pub / Restaurant,2018-12-19,12600.0,0,,0.0
0062X00000wdHq1QAE,DRINKING PLACES (ALCOHOLIC),Bar / Pub / Restaurant,2018-12-17,11700.0,0,,0.0
0062X00000wdJ2FQAU,MISC PUBLISH/PRINTING (P.CARD),Other Services,2018-12-13,4880.0,0,,0.0
0062X00000wdj6fQAA,MISCELLANEOUS FOOD STORES,Bar / Pub / Restaurant,2018-12-31,6728.0,0,,0.0
0062X00000wdk02QAA,BARBER & BEAUTY SHOPS,Healthcare,2018-12-27,13923.0,0,,0.0
0062X00000wdKsPQAU,AUTOMOTIVE SERVICE SHOPS,Car Sales / Garage Services,2018-12-14,3870.0,0,,0.0
0062X00000wdPbTQAU,RESTAURANTS (EXCEPT EXPRESS),Hotel / B&B,2018-12-17,16950.0,0,,0.0
0062X00000wdPHdQAM,AUTOMOTIVE SERVICE SHOPS,Car Sales / Garage Services,2018-12-18,8470.0,1,2019-03-05,7437.44
0062X00000wdqfcQAA,TAXICABS & LIMOUSINES,Other Services,2018-12-20,9984.0,0,,0.0
0062X00000wdVezQAE,EXPRESS PAYMNT SRVCE FAST FOOD,Bar / Pub / Restaurant,2018-12-19,10800.0,0,,0.0
